handle,title,style,material,face_shapes,use_cases,vibes,lens_types,tags
vintage-1980s-gianfranco-ferre-sunglasses,"""Mellow"" 1980s Gianfranco Ferré Sunglasses",rectangle,wire,"heart, oval, round, diamond","day, going_out, casual, sport, at_desk","retro, luxury, modern",,"style:rectangle, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk"
vintage-1990s-escada-luxury-sunglasses,"""Speed Racer"" 1990s Escada Luxury Sunglasses",,acetate,,,"retro, luxury, modern",shield,"material:acetate, vibe:retro, vibe:luxury, vibe:modern, lens:shield"
vintage-1980s-carrera-sunglasses,"""Iced Out"" 1980s Carrera Sunglasses",square,wire,"oval, round","night, going_out, casual, at_desk","retro, luxury, modern",,"style:square, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk"
vintage-1990s-paloma-picasso-sunglasses,"""Mosaic"" 1990s Paloma Picasso Sunglasses",cat_eye,acetate,"heart, oval, round, square, diamond","day, going_out, casual","retro, luxury, modern",,"style:cat_eye, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual"
living-proof-iii-2000s-chrome-hearts-luxury-sunglasses,“Living Proof III” 2000s Chrome Hearts Luxury Sunglasses,,wire,,,"retro, luxury, modern",,"material:wire, vibe:retro, vibe:luxury, vibe:modern"
vintage-1990s-handmade-luxury-sunglasses,"""Half Moon"" 1990s Handmade Luxury Sunglasses",,acetate,,,"retro, modern, classic",,"material:acetate, vibe:retro, vibe:modern, vibe:classic"
optos-black-1980s-luigi-colani-designer-eyeglasses,"""Optos Black"" 1980s Luigi Colani Designer Sunglasses",aviator,wire,"heart, oval, square, diamond","day, going_out, casual, sport","retro, luxury, modern",,"style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport"
optos-15-1980s-luigi-colani-designer-eyeglasses,"""Optos 15"" 1980s Luigi Colani Designer Eyeglasses",,wire,,,"retro, luxury, modern",,"material:wire, vibe:retro, vibe:luxury, vibe:modern"
bayonetta-1990s-dolce-gabbana-luxury-eyeglasses,"""Bayonetta"" 1990s Dolce & Gabbana Frames",rectangle,acetate,"heart, oval, round, diamond","day, going_out, casual, sport, at_desk","retro, luxury, modern",,"style:rectangle, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk"
vintage-1980s-givenchy-luxury-eyeglasses,"""Studded"" 1980s Givenchy Luxury Frames",aviator,acetate,"heart, oval, square, diamond","day, going_out, casual, sport","retro, luxury, modern",custom,"style:aviator, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:custom"
vintage-1970s-opto-luxury-sunglasses,"""Vintage"" 1970s Opto Luxury Sunglasses",round,acetate,"heart, square, diamond","night, casual, at_desk","retro, luxury, modern",,"style:round, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:square, face_shape:diamond, use_case:night, use_case:casual, use_case:at_desk"
snakeskin-1960s-l-ervard-sunglasses,“Snakeskin” 1960s L. Ervard Sunglasses,oval,,,,"retro, luxury, modern",,"style:oval, vibe:retro, vibe:luxury, vibe:modern"
monseuir-1980s-hilton-luxury-sunglasses,“Monseuir” 1980s Hilton Luxury Sunglasses,aviator,wire,"heart, oval, square, diamond","day, going_out, casual, sport","retro, luxury, modern",,"style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport"
vintage-1960s-sun-n-fun-sunglasses,"""Far Out"" 1960s Sun n Fun Sunglasses",,acetate,,,"retro, luxury, modern",,"material:acetate, vibe:retro, vibe:luxury, vibe:modern"
vintage-moschino-x-persol-luxury-sunglasses,"""Vintage"" Moschino x Persol Luxury Sunglasses",rectangle,acetate,"heart, oval, round, diamond","day, going_out, casual, sport, at_desk","luxury, modern, classic",,"style:rectangle, material:acetate, vibe:luxury, vibe:modern, vibe:classic, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk"
polo-ralph-lauren-luxury-driving-sunglasses,“Polo” 1980s Ralph Lauren Driving Sunglasses,aviator,wire,"heart, oval, square, diamond","day, going_out, casual, sport","retro, luxury, modern",,"style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport"
soho-1960s-bausch-lomb-luxury-sunglasses,“SOHO” 1990s DKNY x  Bausch & Lomb Sunglasses,round,acetate,"heart, square, diamond","night, casual, at_desk","retro, luxury, modern",,"style:round, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:square, face_shape:diamond, use_case:night, use_case:casual, use_case:at_desk"
vintage-1980s-laura-biagiotti-luxury-sunglasses,"""Chainmail"" 1980s Laura Biagiotti Sunglasses",,,,,"retro, luxury, modern",,"vibe:retro, vibe:luxury, vibe:modern"
vintage-1960s-harlequin-luxury-sunglasses,"""Catty"" 1960s Harlequin Luxury Sunglasses",,acetate,,,"retro, luxury, modern",,"material:acetate, vibe:retro, vibe:luxury, vibe:modern"
e-village-2000s-marcolin-luxury-sunglasses,"""E Village"" 2000s Marcolin Luxury Sunglasses",round,wire,"heart, square, diamond","night, casual, at_desk","retro, luxury, modern",tinted,"style:round, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:square, face_shape:diamond, use_case:night, use_case:casual, use_case:at_desk, lens:tinted"
alycon-1980s-jean-la-font-luxury-sunglasses,“Alycon” 1980s Jean La Font Luxury Sunglasses,square,wire,"oval, round","night, going_out, casual, at_desk","retro, luxury, modern",,"style:square, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk"
vintage-1970s-celine-luxury-sunglasses,"""Classic"" 2000s Celine Luxury Sunglasses",round,acetate,"heart, square, diamond","night, casual, at_desk","retro, luxury, modern","tinted, butterfly","style:round, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:square, face_shape:diamond, use_case:night, use_case:casual, use_case:at_desk, lens:tinted, lens:butterfly"
vintage-1960s-artisan-crafted-sunglasses,"""Space Age"" 1960s Artisan-Crafted Sunglasses",oval,acetate,,,"retro, modern, classic",,"style:oval, material:acetate, vibe:retro, vibe:modern, vibe:classic"
vintage-2000s-louis-vuitton-luxury-sunglasses,"""Showstopper"" 2000s Louis Vuitton Luxury Sunglasses",square,wire,"oval, round","night, going_out, casual, at_desk","retro, luxury, modern",,"style:square, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk"
vintage-1980s-cazal-luxury-sunglasses,"""Nosey"" 1980s Cazal Luxury Sunglasses",oval,wire,,,"retro, luxury, modern",,"style:oval, material:wire, vibe:retro, vibe:luxury, vibe:modern"
super-rare-persol-luxury-sunglasses,"""Super Rare"" Persol Luxury Sunglasses",oval,wire,,,"luxury, modern, classic",,"style:oval, material:wire, vibe:luxury, vibe:modern, vibe:classic"
vintage-1980s-charmant-luxury-sunglasses,"""Chameleon"" 1980s Charmant Luxury Sunglasses",oval,wire,,,"retro, luxury, modern",,"style:oval, material:wire, vibe:retro, vibe:luxury, vibe:modern"
vintage-1980s-moschino-luxury-sunglasses,"""Tinman"" 1990s Moschino Luxury Sunglasses",round,wire,"heart, square, diamond","night, casual, at_desk","retro, luxury, modern",,"style:round, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:square, face_shape:diamond, use_case:night, use_case:casual, use_case:at_desk"
florence-vogue-luxury-sunglasses,"""Florence"" Vogue Luxury Sunglasses",rectangle,acetate,"heart, oval, round, diamond","day, going_out, casual, sport, at_desk","luxury, modern, classic",,"style:rectangle, material:acetate, vibe:luxury, vibe:modern, vibe:classic, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk"
amarillo-anglo-american-sunglasses,"""Amarillo"" Anglo American Sunglasses",oval,acetate,,,"luxury, modern, classic",,"style:oval, material:acetate, vibe:luxury, vibe:modern, vibe:classic"
double-m-2000s-moss-lipow-sunglasses,"""Double M"" 2000s Moss Lipow Sunglasses",cat_eye,acetate,"heart, oval, round, square, diamond","day, going_out, casual","retro, luxury, modern",,"style:cat_eye, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual"
vintage-2000s-tom-ford-sunglasses,"""Pilot"" 2000s Tom Ford Sunglasses",aviator,wire,"heart, oval, square, diamond","day, going_out, casual, sport","retro, luxury, modern",,"style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport"
vintage-1960s-bonneau-luxury-sunglasses,"""Vintage"" 1960s Bonneau Luxury Sunglasses",oval,acetate,,,"retro, luxury, modern",,"style:oval, material:acetate, vibe:retro, vibe:luxury, vibe:modern"
vintage-1960s-renauld-luxury-sunglasses,"""Vintage"" 1960s Renauld Luxury Sunglasses",square,wire,"oval, round","night, going_out, casual, at_desk","retro, luxury, modern",,"style:square, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk"
regina-1980s-pierre-cardin-sunglasses,"""Regina"" 1980s Pierre Cardin Sunglasses",oval,acetate,,,"retro, luxury, modern",,"style:oval, material:acetate, vibe:retro, vibe:luxury, vibe:modern"
vintage-1970s-landoli-artisan-crafted-eyeglasses,"""Sharon Tate"" 1970s Landoli Artisan-Crafted Eyeglasses",,acetate,,,"retro, luxury, modern",,"material:acetate, vibe:retro, vibe:luxury, vibe:modern"
vintage-1990s-gianfranco-ferre-luxury-sunglasses,"""Vintage"" 1990s Gianfranco Ferre Luxury Sunglasses",rectangle,acetate,"heart, oval, round, diamond","day, going_out, casual, sport, at_desk","retro, luxury, modern",,"style:rectangle, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk"
palmer-eyepetizer-luxury-sunglasses,“Palmer” Eyepetizer Luxury Sunglasses,square,wire,"oval, round","night, going_out, casual, at_desk","luxury, modern, classic",,"style:square, material:wire, vibe:luxury, vibe:modern, vibe:classic, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk"
vintage-2000s-versace-luxury-sunglasses,"""Runway"" 2000s Versace Luxury Sunglasses",oval,acetate,,,"retro, luxury, modern",,"style:oval, material:acetate, vibe:retro, vibe:luxury, vibe:modern"
ivanna-tom-ford-luxury-sunglasses,“Ivanna” Tom Ford Luxury Sunglasses,,acetate,,,"luxury, modern, classic",,"material:acetate, vibe:luxury, vibe:modern, vibe:classic"
vintage-1990s-ray-ban-luxury-sunglasses,"""Vintage"" 1990s Ray-Ban Luxury Sunglasses",oval,acetate,,,"retro, luxury, modern",,"style:oval, material:acetate, vibe:retro, vibe:luxury, vibe:modern"
jet-vision-1980s-handcrafted-sunglasses,"""Jet Vision"" 1980s Handcrafted Sunglasses",rectangle,wire,"heart, oval, round, diamond","day, going_out, casual, sport, at_desk","retro, luxury, modern",,"style:rectangle, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk"
vintage-hudson-luxury-sunglasses,“Vintage” Hudson Luxury Sunglasses,cat_eye,acetate,"heart, oval, round, square, diamond","day, going_out, casual","luxury, modern, classic",,"style:cat_eye, material:acetate, vibe:luxury, vibe:modern, vibe:classic, face_shape:heart, face_shape:oval, face_shape:round, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual"
vintage-luigi-colani-artisan-crafted-eyeglasses,"""Vintage"" Luigi Colani Artisan-Crafted Eyeglasses",,wire,,,"luxury, modern, classic",,"material:wire, vibe:luxury, vibe:modern, vibe:classic"
vintage-luigi-colani-luxury-eyeglasses,"""Vintage"" Luigi Colani Luxury Eyeglasses",,wire,,,"luxury, modern, classic",,"material:wire, vibe:luxury, vibe:modern, vibe:classic"
carbonite-360-1980s-jones-luxury-sunglasses,"""Carbonite 360"" 1980s Jones Shield Sunglasses",oval,wire,,,"retro, luxury, modern",shield,"style:oval, material:wire, vibe:retro, vibe:luxury, vibe:modern, lens:shield"
giraffe-1980s-jean-la-font-sunglasses,"""Giraffe"" 1980s Jean La Font Sunglasses",rectangle,acetate,"heart, oval, round, diamond","day, going_out, casual, sport, at_desk","retro, luxury, modern","polarized, rx, tinted","style:rectangle, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:polarized, lens:rx, lens:tinted"
folding-2000s-dolce-gabbana-sunglasses,"""Folding"" 2000s Dolce & Gabbana Sunglasses",aviator,wire,"heart, oval, square, diamond","day, going_out, casual, sport","retro, luxury, modern",,"style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport"
binoculars-1920s,“Binoculars” 1960s,rectangle,wire,"heart, oval, round, diamond","day, going_out, casual, sport, at_desk",retro,,"style:rectangle, material:wire, vibe:retro, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk"
re-lens-your-frames,Re-Lens Your Frames,,,,,,"polarized, rx, tinted","lens:polarized, lens:rx, lens:tinted"
bcg-yellow-1980s-romco-luxury-sunglasses,"""BCG Yellow"" 1980s Romco Luxury Sunglasses",square,acetate,"oval, round","night, going_out, casual, at_desk","retro, luxury, modern",,"style:square, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk"
classic-dior-homme-sunglasses,“Slimane” 2000s Dior Homme Sunglasses,oval,wire,,,"retro, luxury, modern",,"style:oval, material:wire, vibe:retro, vibe:luxury, vibe:modern"
sporty-reebok-sunglasses,"""Sporty"" Reebok Sunglasses",,wire,,,"luxury, modern, classic",,"material:wire, vibe:luxury, vibe:modern, vibe:classic"
movie-character-1980s-tv-luxury-sunglasses,“Movie Character” 1980s TV Sunglasses,rectangle,wire,"heart, oval, round, diamond","day, going_out, casual, sport, at_desk","retro, modern, classic",,"style:rectangle, material:wire, vibe:retro, vibe:modern, vibe:classic, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk"
classic-and-classy-barton-perreira-sunglasses,"""Classic and Classy"" 2000s Barton Perreira Sunglasses",aviator,wire,"heart, oval, square, diamond","day, going_out, casual, sport","retro, luxury, modern",,"style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport"
pointy-1980s-perry-ellis-sunglasses,“Pointy” 1980s Perry Ellis Sunglasses,oval,wire,,,"retro, luxury, modern",,"style:oval, material:wire, vibe:retro, vibe:luxury, vibe:modern"
trip-to-mars-diesel-sunglasses,“Trip to Mars” 2019 Diesel Sunglasses,round,wire,"heart, square, diamond","night, casual, at_desk","retro, luxury, modern",,"style:round, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:square, face_shape:diamond, use_case:night, use_case:casual, use_case:at_desk"
bcg-orange-1980s-romco-luxury-sunglasses,“BCG Orange” 1980s Romco Luxury Sunglasses,square,acetate,"oval, round","night, going_out, casual, at_desk","retro, luxury, modern",,"style:square, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk"
vintage-calvin-klein-luxury-sunglasses,"""Vintage"" Calvin Klein Luxury Sunglasses",oval,acetate,,,"luxury, modern, classic",,"style:oval, material:acetate, vibe:luxury, vibe:modern, vibe:classic"
retro-relic-la-eyeworks-sunglasses,“Retro Relic” 1990s L.A. Eyeworks Sunglasses,round,acetate,"heart, square, diamond","night, casual, at_desk","retro, luxury, modern",,"style:round, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:square, face_shape:diamond, use_case:night, use_case:casual, use_case:at_desk"
touch-of-red-mirage-sunglasses,“Touch of Red” 1980s Mirage Sunglasses,wayfarer,wire,"heart, oval, round, square","day, night, going_out, casual, at_desk","retro, luxury, modern",,"style:wayfarer, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:square, use_case:day, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk"
corvara-rodenstock-sunglasses,“Corvana” 1980s Rodenstock Sunglasses,oval,acetate,,,"retro, luxury, modern",,"style:oval, material:acetate, vibe:retro, vibe:luxury, vibe:modern"
vintage-liz-claiborne-sunglasses,"""Vintage"" 1990s Liz Claiborne Sunglasses",oval,acetate,,,"retro, luxury, modern",,"style:oval, material:acetate, vibe:retro, vibe:luxury, vibe:modern"
night-at-la-scala-1900s-opera-glasses,"""Night at La Scala"" 1900s Opera Glasses",,,,,retro,,vibe:retro
shield-1980s-liz-claiborne-sunglasses,“Shield” 1980s Liz Claiborne Sunglasses,,acetate,,,"retro, luxury, modern",shield,"material:acetate, vibe:retro, vibe:luxury, vibe:modern, lens:shield"
night-at-the-met-1900s-opera-glasses,"""Night at the Met"" 1950s Opera Glasses",,,,,retro,,vibe:retro
nassau-1980s-jean-la-font-sunglasses,“Nassau” 1980s Jean La Font Sunglasses,oval,acetate,,,"retro, luxury, modern",,"style:oval, material:acetate, vibe:retro, vibe:luxury, vibe:modern"
2000s-gucci-aviator-sunglasses,2000s Gucci Aviator Sunglasses,aviator,wire,"heart, oval, square, diamond","day, going_out, casual, sport","retro, luxury, modern",,"style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport"
wellness-protect-eschenbach-sunglasses,"""Wellness Protect"" Eschenbach Sunglasses",square,acetate,"oval, round","night, going_out, casual, at_desk","luxury, modern, classic",tinted,"style:square, material:acetate, vibe:luxury, vibe:modern, vibe:classic, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk, lens:tinted"
horn-rimmed-romco-1980s-frame,"""Horn-Rimmed"" Romco 1980s Frame",oval,,,,"retro, luxury, classic","rx, tinted","style:oval, vibe:retro, vibe:luxury, vibe:classic, lens:rx, lens:tinted"
meow-el-gold-sunglasses-1950s,"""Meow"" El Gold Sunglasses 1950s",cat_eye,wire,"heart, oval, round, square, diamond","day, going_out, casual","retro, luxury",,"style:cat_eye, material:wire, vibe:retro, vibe:luxury, face_shape:heart, face_shape:oval, face_shape:round, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual"
vintage-oversized-sunglasses,“Vintage” 1980s Oversized Sunglasses,oval,acetate,,,"retro, modern, classic","tinted, butterfly","style:oval, material:acetate, vibe:retro, vibe:modern, vibe:classic, lens:tinted, lens:butterfly"
1980s-handmade-sunglasses,1980s Handmade Sunglasses,round,acetate,"heart, square, diamond","night, casual, at_desk","retro, luxury, modern",,"style:round, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:square, face_shape:diamond, use_case:night, use_case:casual, use_case:at_desk"
vintage-1970s-optyl-sunglasses,“Vintage” 1970s Optyl Sunglasses,oval,acetate,,,"retro, luxury, modern",polarized,"style:oval, material:acetate, vibe:retro, vibe:luxury, vibe:modern, lens:polarized"
tb7113-timberland-sunglasses,"""TB7113"" Timberland Sunglasses",aviator,wire,"heart, oval, square, diamond","day, going_out, casual, sport","retro, luxury, modern",,"style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport"
gucci-in-glitter,"""Gucci in Glitter"" 2000s Gucci Sunglasses",aviator,wire,"heart, oval, square, diamond","day, going_out, casual, sport","retro, luxury, modern","polarized, tinted","style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:polarized, lens:tinted"
avant-garde-rebel-1980s-jean-paul-gaultier-sunglasses,"""Avant-Garde Rebel"" 1980s Jean-Paul Gaultier Sunglasses",round,wire,"heart, square, diamond","night, casual, at_desk","retro, luxury, modern","tinted, shield","style:round, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:square, face_shape:diamond, use_case:night, use_case:casual, use_case:at_desk, lens:tinted, lens:shield"
eso-tosca-sunglasses,ESO Tosca Sunglasses,oval,,,,"luxury, modern, classic",,"style:oval, vibe:luxury, vibe:modern, vibe:classic"
1990s-puma-sunglasses,1990s Puma Sunglasses,rectangle,acetate,"heart, oval, round, diamond","day, going_out, casual, sport, at_desk","retro, luxury, modern",shield,"style:rectangle, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:shield"
toki-1980s-sunglasses,"""Leopard"" 1990s Toki Sunglasses",oval,wire,,,"retro, luxury, modern",,"style:oval, material:wire, vibe:retro, vibe:luxury, vibe:modern"
grace-jones-1980s-electric-sunglasses,"""Grace Jones"" 1980s Electric Sunglasses",cat_eye,acetate,"heart, oval, round, square, diamond","day, going_out, casual","retro, modern, trendy",tinted,"style:cat_eye, material:acetate, vibe:retro, vibe:modern, vibe:trendy, face_shape:heart, face_shape:oval, face_shape:round, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, lens:tinted"
speed-racer-mozambique-sunglasses,“Speed Racer” 1990s Mozambique Sunglasses,oval,wire,,,"retro, luxury, modern",,"style:oval, material:wire, vibe:retro, vibe:luxury, vibe:modern"
chrome-brows-1990s-jean-paul-gaultier-sunglasses,"""Chrome Brows"" 1990s Jean-Paul Gaultier Sunglasses",,wire,,,"retro, luxury, modern",tinted,"material:wire, vibe:retro, vibe:luxury, vibe:modern, lens:tinted"
crystalize-1960s-rodeo-crystal-polarized-sunglasses,"""Crystalize"" 1960s Rodeo Crystal Polarized Sunglasses",oval,acetate,,,"retro, luxury","polarized, tinted, butterfly","style:oval, material:acetate, vibe:retro, vibe:luxury, lens:polarized, lens:tinted, lens:butterfly"
azyr-specs-gift-card,AZYR Specs Gift Card,,,,,"luxury, classic, trendy","rx, tinted","vibe:luxury, vibe:classic, vibe:trendy, lens:rx, lens:tinted"
linear-1980s-optosun-vintage-sunglasses-frames,“Linear” 1980s Optosun Sunglasses (Frames Only),aviator,wire,"heart, oval, square, diamond","day, going_out, casual, sport","retro, luxury, modern",,"style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport"
fiery-1990s-titmus-sporty-sunglasses,“Fiery” 1990s Titmus Sporty Sunglasses,round,acetate,"heart, square, diamond","night, casual, at_desk","retro, luxury, modern","polarized, tinted, shield, butterfly","style:round, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:square, face_shape:diamond, use_case:night, use_case:casual, use_case:at_desk, lens:polarized, lens:tinted, lens:shield, lens:butterfly"
evergreen-edge-1990s-esprit-vintage-sunglasses,“Evergreen Edge” 1990s Esprit Sunglasses,oval,acetate,,,"retro, luxury, modern",,"style:oval, material:acetate, vibe:retro, vibe:luxury, vibe:modern"
vintage-1980s-casanova-gunmetal-oval-metal-sunglasses-italy,"""Geometric"" 1980s Casanova Sunglasses",oval,wire,,,"retro, luxury, modern",geometric,"style:oval, material:wire, vibe:retro, vibe:luxury, vibe:modern, lens:geometric"
vintage-1990s-marines-oval-metal-vintage-sunglasses-italy,"""Metal"" 1990s Marines Sunglasses",oval,wire,,,"retro, luxury, modern",polarized,"style:oval, material:wire, vibe:retro, vibe:luxury, vibe:modern, lens:polarized"
icey-1990s-romeo-gigli-vintage-sunglasses,“Icey” 1990s Romeo Gigli Sunglasses,oval,wire,,,"retro, luxury, modern",,"style:oval, material:wire, vibe:retro, vibe:luxury, vibe:modern"
classic-1990s-persol-vintage-sunglasses,"""Classic"" 1990s Vintage Persol Sunglasses",oval,acetate,,,"retro, luxury, modern","polarized, tinted","style:oval, material:acetate, vibe:retro, vibe:luxury, vibe:modern, lens:polarized, lens:tinted"
vintage-1980s-charles-jourdan-santorin-black-oval-vintage-sunglasses-made-in-france,"""Leather"" 1980s Charles Jourdan Sunglasses",oval,acetate,,,"retro, luxury, modern",,"style:oval, material:acetate, vibe:retro, vibe:luxury, vibe:modern"
bamboo-1990s-marni-rome-vintage-sunglasses,“Bamboo” 1990s Marni Rome Sunglasses,rectangle,acetate,"heart, oval, round, diamond","day, going_out, casual, sport, at_desk","retro, luxury, trendy",,"style:rectangle, material:acetate, vibe:retro, vibe:luxury, vibe:trendy, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk"
pink-pantheress-1980s-gucci-eyeglasses-frames,“Pink Pantheress” 1980s Gucci Eyeglasses (Frames Only),oval,acetate,,,"retro, luxury, modern",tinted,"style:oval, material:acetate, vibe:retro, vibe:luxury, vibe:modern, lens:tinted"
teddy-bear-1980s-chanel-vintage-eyeglasses,“Teddy Bear” 1980s Chanel Eyeglasses,wayfarer,acetate,"heart, oval, round, square","day, night, going_out, casual, at_desk","retro, luxury, modern",,"style:wayfarer, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:square, use_case:day, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk"
max-mara-red-1990s,"""Red Lipstick"" 1990s Max Mara Sunglasses",round,acetate,"heart, square, diamond","night, casual, at_desk","retro, luxury, modern",shield,"style:round, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:square, face_shape:diamond, use_case:night, use_case:casual, use_case:at_desk, lens:shield"
roberto-cavalli-snake-1980s,"""Serpent"" 1980s Roberto Cavalli Sunglasses",round,wire,"heart, square, diamond","night, casual, at_desk","retro, luxury, modern",shield,"style:round, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:square, face_shape:diamond, use_case:night, use_case:casual, use_case:at_desk, lens:shield"
